guid,polish,english,video,video_media_anchor,video_title,video_url,cloze_listen_hack,priority,tags
dfb4L0Bfcg,Proszę!,Here!,EuJlGjJSuKs-0000_00-0001_93.webm,[sound:EuJlGjJSuKs-0000_00-0001_93.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},24,
dSVwYl]3H$,"{{c2::Słowo}} ' proszę"" {{c3::jest}} {{c4::wspaniałym}} {{c5::i}} {{c6::bardzo}} uniwersalnym {{c8::słowem}} {{c7::w}} {{c9::języku}} {{c10::polskim}}.","The word ""proszę"" (please) is an amazing and very universal word in Polish.",EuJlGjJSuKs-0006_10-0011_67.webm,[sound:EuJlGjJSuKs-0006_10-0011_67.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},154,
"jxWS{,iBTL",Pomaga nam ono {{c2::w}} {{c3::bardzo}} wielu sytuacjach życia codziennego {{c4::i}} ma też wiele różnych znaczeń.,It helps us in many different situations of everyday life and it also has many different meanings.,EuJlGjJSuKs-0011_70-0018_23.webm,[sound:EuJlGjJSuKs-0011_70-0018_23.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},189,
r.kE^dr1k8,"Przez {{c2::to}}, {{c3::to}} {{c4::słowo}} {{c5::może}} sprawiać trochę trudności, {{c6::ale}} {{c7::nie}} martwcie {{c8::się}}. Zaraz Wam wszystko wyjaśnimy {{c9::i}} będziecie {{c10::go}} używać {{c12::jak}} prawdziwi {{c11::Polacy}}.","Because of that, this word can cause a bit of trouble, but don't worry. We'll explain you everything and you'll use it like native Poles.",EuJlGjJSuKs-0018_27-0026_07.webm,[sound:EuJlGjJSuKs-0018_27-0026_07.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},283,
knk7X*(FKq,"{{c6::Są}} {{c5::dwie}} rzeczy, {{c7::które}} {{c8::na}} początek musicie {{c3::wiedzieć}} {{c4::o}} {{c2::słowie}} ""proszę"".","There are two things that for the beginning you need to know/about the word ""proszę"".",EuJlGjJSuKs-0038_43-0043_83.webm,[sound:EuJlGjJSuKs-0038_43-0043_83.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},155,
uhxe#j$Gfy,"{{c2::Po}} pierwsze, {{c3::to}} {{c4::jest}} takie {{c5::słowo}}, które pomaga nam być uprzejmym.","Firstly, it's a word that helps us to be polite.",EuJlGjJSuKs-0043_87-0048_17.webm,[sound:EuJlGjJSuKs-0043_87-0048_17.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},114,
MB]<ESyg&~,"Często można by je nawet pominąć w zdaniu, {{c2::ale}} świadczy ono o naszej kulturze osobistej {{c3::i}} szacunku {{c4::do}} rozmówcy.","Often we could even omit it in a sentence, but its an evidence of our propriety and respect for the. person you're speaking to.",EuJlGjJSuKs-0048_20-0055_97.webm,[sound:EuJlGjJSuKs-0048_20-0055_97.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},239,
E<>!-s5r<},"{{c2::Po}} {{c3::drugie::second}}, {{c4::słowo}} ""proszę"" {{c5::to}} {{c8::po}} {{c6::prostu}} czasownik ""prosić"" {{c7::w}} pierwszej osobie: ja proszę.","Secondly, ""proszę"" is simply the verb ""to ask for something” in the first person: I ask.",EuJlGjJSuKs-0056_00-0063_03.webm,[sound:EuJlGjJSuKs-0056_00-0063_03.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},177,
uX<kOS+~.%,"Możemy {{c2::go}} więc używać, kiedy chcemy kogoś grzecznie o coś poprosić.","Therefore, we can use it when we want to politely ask someone for something.",EuJlGjJSuKs-0063_07-0067_70.webm,[sound:EuJlGjJSuKs-0063_07-0067_70.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},144,
qqk@]9sEDu,"Odkręcisz {{c2::mi}} {{c3::to}}, {{c4::proszę}}?","Can you open this for me, please?",EuJlGjJSuKs-0072_83-0075_63.webm,[sound:EuJlGjJSuKs-0072_83-0075_63.webm],8 Ways to Use the Word PROSZĘ in Polish | Super Easy Polish 15,https://www.youtube.com/watch?v=EuJlGjJSuKs,{{c1::}},70,
